,timestamp,Temps écoulé,4069 state,Battery voltage,Flow SP,Unit Code,Flow M,Pressure,Temperature,Latitude,Longitude,Altitude,Head. Rel. True North,Pressure.1,Temperature.1,Humidity,MDA Wnd Dir,MDA Wnd Speed,MWD Wind Dir,MWD Wind Speed,Gaz Concentration 1,Gaz Concentration 2,Gaz Concentration 3,Gaz Concentration 4,SPA 1,SPA 2,Cellule Photo,Temperature.2,Pressure.2,Flow MassFlow 1,NOTUSED Flow MassFlow 2,Flow,Humidity.1,Test,Details,SPA 3,SPA 4,CavityPressure,CavityTemp,CH4,CH4_dry,C2H6,C2H6_dry,13CH4,H2O,CO2,C2C1Ratio,Delta_iCH4_Raw,HP_Delta_iCH4_30s,HP_Delta_iCH4_2min,HP_Delta_iCH4_5min
0,1570007462000,0,1.01,888888.0,9.0,17.0,0.0,1.008,19.933,43.247596,-0.384963,91.6,34.2,1.015,14.6,87.1,323.6,1.7,324.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1570007463000,1,1.01,888888.0,9.0,17.0,0.0,1.008,19.955,43.247597,-0.384963,91.7,34.2,1.015,14.6,87.2,317.7,2.2,320.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1570007464000,2,1.01,888888.0,9.0,17.0,0.0,1.008,19.955,43.247597,-0.384963,91.7,34.2,1.015,14.6,87.2,317.7,2.2,320.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1570007465000,3,1.01,888888.0,9.0,17.0,0.0,1.008,19.944000000000003,43.247597,-0.384963,91.7,34.2,1.015,14.6,87.2,317.7,2.2,320.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1570007466000,4,1.01,888888.0,9.0,17.0,0.0,1.008,19.944000000000003,43.247597,-0.384963,91.8,34.2,1.015,14.6,87.2,316.8,3.4,315.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1570007467000,5,1.01,888888.0,9.0,17.0,0.0,1.008,19.944000000000003,43.247597,-0.384963,91.8,34.2,1.015,14.6,87.2,316.8,3.4,315.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1570007468000,6,1.01,888888.0,9.0,17.0,0.0,1.008,19.965999999999998,43.247597,-0.384963,91.8,34.2,1.015,14.6,87.2,316.8,3.4,315.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1570007469000,7,1.01,888888.0,9.0,17.0,0.0,1.008,19.955,43.247597999999996,-0.384964,91.9,34.1,1.015,14.6,87.2,290.8,2.8,292.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1570007470000,8,1.01,888888.0,9.0,17.0,0.0,1.008,19.965999999999998,43.247597999999996,-0.384964,91.9,34.1,1.015,14.6,87.2,290.8,2.8,292.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1570007471000,9,1.01,888888.0,9.0,17.0,0.0,1.008,19.955,43.247597999999996,-0.384964,91.9,34.1,1.015,14.6,87.2,290.8,2.8,292.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
